time,1,smooth
2022-01-01 00:05:21,57.72,58.41673333333333
2022-01-01 00:05:22,57.26,58.41966666666667
2022-01-01 00:05:23,56.78,58.4222
2022-01-01 00:05:24,56.33,58.42336666666667
2022-01-01 00:05:25,55.93,58.42296666666667
2022-01-01 00:05:26,55.55,58.42126666666667
2022-01-01 00:05:27,55.13,58.41896666666666
2022-01-01 00:05:28,54.68,58.41669999999999
2022-01-01 00:05:29,54.2,58.4149
2022-01-01 00:05:30,53.71,58.413566666666675
2022-01-01 00:05:31,53.24,58.41246666666666
2022-01-01 00:05:32,52.79,58.411500000000004
2022-01-01 00:05:33,52.39,58.4106
2022-01-01 00:05:34,52.03,58.410066666666665
2022-01-01 00:05:35,51.69,58.41016666666666
2022-01-01 00:05:36,51.35,58.41109999999999
2022-01-01 00:05:37,51.0,58.41283333333334
2022-01-01 00:05:38,50.66,58.415
2022-01-01 00:05:39,50.35,58.4173
2022-01-01 00:05:40,50.05,58.41936666666667
2022-01-01 00:05:41,49.81,58.42126666666667
2022-01-01 00:05:42,49.63,58.4231
2022-01-01 00:05:43,49.48,58.425066666666666
2022-01-01 00:05:44,49.34,58.42716666666666
2022-01-01 00:05:45,49.17,58.42906666666667
2022-01-01 00:05:46,48.96,58.43026666666666
2022-01-01 00:05:47,48.72,58.430866666666674
2022-01-01 00:05:48,48.49,58.43226666666667
2022-01-01 00:05:49,48.25,58.43573333333334
2022-01-01 00:05:50,48.05,58.4413
2022-01-01 00:05:51,47.86,58.447633333333336
2022-01-01 00:05:52,47.68,58.45323333333334
2022-01-01 00:05:53,47.47,58.45733333333334
2022-01-01 00:05:54,47.24,58.45986666666668
2022-01-01 00:05:55,46.92,58.46153333333333
2022-01-01 00:05:56,46.62,58.46313333333333
2022-01-01 00:05:57,46.46,58.46523333333333
2022-01-01 00:05:58,46.49,58.46803333333333
2022-01-01 00:05:59,46.85,58.47133333333334
2022-01-01 00:06:00,48.14,58.47466666666666
2022-01-01 00:06:01,51.27,58.47760000000001
2022-01-01 00:06:02,56.41,58.47973333333334
2022-01-01 00:06:03,62.38,58.48113333333333
2022-01-01 00:06:04,67.3,58.48186666666666
2022-01-01 00:06:05,69.93,58.482466666666674
2022-01-01 00:06:06,70.29,58.4832
2022-01-01 00:06:07,69.34,58.484199999999994
2022-01-01 00:06:08,68.28,58.485533333333336
2022-01-01 00:06:09,67.98,58.487033333333336
2022-01-01 00:06:10,68.71,58.48859999999999
2022-01-01 00:06:11,70.12,58.4902
2022-01-01 00:06:12,71.57,58.49170000000001
2022-01-01 00:06:13,72.46,58.49303333333333
2022-01-01 00:06:14,72.57,58.494233333333334
2022-01-01 00:06:15,72.06,58.49533333333333
2022-01-01 00:06:16,71.26,58.496433333333336
2022-01-01 00:06:17,70.47,58.4977
2022-01-01 00:06:18,69.81,58.4991
2022-01-01 00:06:19,69.26,58.5006
2022-01-01 00:06:20,68.68,58.50203333333334
2022-01-01 00:06:21,68.04,58.50333333333333
2022-01-01 00:06:22,67.32,58.5044
2022-01-01 00:06:23,66.52,58.50536666666667
2022-01-01 00:06:24,65.7,58.50623333333333
2022-01-01 00:06:25,64.9,58.50696666666667
2022-01-01 00:06:26,64.17,58.507766666666676
2022-01-01 00:06:27,63.57,58.508599999999994
2022-01-01 00:06:28,63.08,58.50953333333334
2022-01-01 00:06:29,62.66,58.510566666666676
2022-01-01 00:06:30,62.25,58.51166666666666
2022-01-01 00:06:31,61.81,58.51276666666667
2022-01-01 00:06:32,61.34,58.513866666666665
2022-01-01 00:06:33,60.73,58.51496666666666
2022-01-01 00:06:34,59.79,58.51616666666666
2022-01-01 00:06:35,58.33,58.5175
2022-01-01 00:06:36,56.6,58.51893333333334
2022-01-01 00:06:37,55.56,58.5203
2022-01-01 00:06:38,55.95,58.52156666666667
2022-01-01 00:06:39,57.57,58.522733333333335
2022-01-01 00:06:40,59.48,58.523700000000005
2022-01-01 00:06:41,60.79,58.52466666666667
2022-01-01 00:06:42,61.13,58.525666666666666
2022-01-01 00:06:43,60.65,58.52676666666666
2022-01-01 00:06:44,59.85,58.52799999999999
2022-01-01 00:06:45,59.18,58.52929999999999
2022-01-01 00:06:46,58.97,58.530466666666676
2022-01-01 00:06:47,59.3,58.531299999999995
2022-01-01 00:06:48,60.03,58.532
2022-01-01 00:06:49,60.82,58.532966666666674
2022-01-01 00:06:50,61.35,58.53480000000001
2022-01-01 00:06:51,61.49,58.538533333333326
2022-01-01 00:06:52,61.2,58.54676666666666
2022-01-01 00:06:53,60.67,58.561866666666674
2022-01-01 00:06:54,60.13,58.58266666666666
2022-01-01 00:06:55,59.72,58.60433333333333
2022-01-01 00:06:56,59.46,58.62199999999999
2022-01-01 00:06:57,59.28,58.6335
2022-01-01 00:06:58,59.07,58.640166666666666
2022-01-01 00:06:59,58.78,58.64503333333333
2022-01-01 00:07:00,58.36,58.65103333333334
2022-01-01 00:07:01,57.9,58.65973333333334
2022-01-01 00:07:02,57.44,58.6709
2022-01-01 00:07:03,57.0,58.68316666666666
2022-01-01 00:07:04,56.59,58.69486666666666
2022-01-01 00:07:05,56.19,58.705133333333336
2022-01-01 00:07:06,55.77,58.71386666666667
2022-01-01 00:07:07,55.32,58.72153333333333
2022-01-01 00:07:08,54.86,58.728733333333345
2022-01-01 00:07:09,54.4,58.73596666666667
2022-01-01 00:07:10,53.94,58.743466666666656
2022-01-01 00:07:11,53.52,58.75116666666666
2022-01-01 00:07:12,53.12,58.75883333333333
2022-01-01 00:07:13,52.73,58.766133333333336
2022-01-01 00:07:14,52.37,58.77296666666666
2022-01-01 00:07:15,52.03,58.7794
2022-01-01 00:07:16,51.69,58.7856
2022-01-01 00:07:17,51.36,58.791700000000006
2022-01-01 00:07:18,51.05,58.79773333333333
2022-01-01 00:07:19,50.76,58.803666666666665
2022-01-01 00:07:20,50.51,58.809566666666676
2022-01-01 00:07:21,50.29,58.8154
2022-01-01 00:07:22,50.11,58.821133333333336
2022-01-01 00:07:23,50.01,58.82686666666667
2022-01-01 00:07:24,49.9,58.832666666666675
2022-01-01 00:07:25,49.77,58.838566666666665
2022-01-01 00:07:26,49.56,58.84466666666666
2022-01-01 00:07:27,49.31,58.85096666666667
2022-01-01 00:07:28,49.04,58.85753333333334
2022-01-01 00:07:29,48.8,58.86443333333334
2022-01-01 00:07:30,48.59,58.871966666666665
2022-01-01 00:07:31,48.43,58.8802
2022-01-01 00:07:32,48.26,58.888933333333334
2022-01-01 00:07:33,48.07,58.89769999999999
2022-01-01 00:07:34,47.77,58.90610000000001
2022-01-01 00:07:35,47.38,58.91376666666667
2022-01-01 00:07:36,47.01,58.920766666666665
2022-01-01 00:07:37,46.86,58.9276
2022-01-01 00:07:38,47.01,58.934633333333345
2022-01-01 00:07:39,47.64,58.941933333333324
2022-01-01 00:07:40,49.47,58.94923333333333
2022-01-01 00:07:41,53.39,58.956233333333344
2022-01-01 00:07:42,59.21,58.96273333333333
2022-01-01 00:07:43,65.37,58.96866666666667
2022-01-01 00:07:44,70.07,58.97396666666666
2022-01-01 00:07:45,72.3,58.97883333333334
2022-01-01 00:07:46,72.39,58.9834
2022-01-01 00:07:47,71.41,58.98773333333333
2022-01-01 00:07:48,70.57,58.99183333333333
2022-01-01 00:07:49,70.6,58.99570000000001
2022-01-01 00:07:50,71.52,58.99946666666667
2022-01-01 00:07:51,72.88,59.00316666666667
2022-01-01 00:07:52,74.16,59.00693333333333
2022-01-01 00:07:53,74.93,59.01063333333334
2022-01-01 00:07:54,75.05,59.014266666666664
2022-01-01 00:07:55,74.62,59.017700000000005
2022-01-01 00:07:56,73.89,59.020833333333336
2022-01-01 00:07:57,73.09,59.02360000000001
2022-01-01 00:07:58,72.37,59.02616666666666
2022-01-01 00:07:59,71.75,59.028600000000004
2022-01-01 00:08:00,71.11,59.031033333333326
2022-01-01 00:08:01,70.39,59.03346666666667
2022-01-01 00:08:02,69.56,59.03589999999999
2022-01-01 00:08:03,68.65,59.038333333333334
2022-01-01 00:08:04,67.73,59.040699999999994
2022-01-01 00:08:05,66.83,59.043033333333334
2022-01-01 00:08:06,66.03,59.0453
2022-01-01 00:08:07,65.31,59.047566666666654
2022-01-01 00:08:08,64.66,59.04986666666667
2022-01-01 00:08:09,64.03,59.0522
2022-01-01 00:08:10,63.41,59.054566666666666
2022-01-01 00:08:11,62.78,59.05703333333334
2022-01-01 00:08:12,62.14,59.059533333333334
2022-01-01 00:08:13,61.43,59.06196666666667
2022-01-01 00:08:14,60.52,59.06436666666666
2022-01-01 00:08:15,59.21,59.0667
2022-01-01 00:08:16,57.51,59.069
2022-01-01 00:08:17,56.19,59.071333333333335
2022-01-01 00:08:18,56.17,59.07376666666667
2022-01-01 00:08:19,57.6,59.07619999999999
2022-01-01 00:08:20,59.63,59.07856666666667
2022-01-01 00:08:21,61.28,59.08086666666666
2022-01-01 00:08:22,61.99,59.083166666666656
2022-01-01 00:08:23,61.73,59.08546666666666
2022-01-01 00:08:24,60.91,59.087766666666674
2022-01-01 00:08:25,60.12,59.08990000000001
2022-01-01 00:08:26,59.79,59.09173333333334
2022-01-01 00:08:27,60.06,59.0931
2022-01-01 00:08:28,60.73,59.09393333333333
2022-01-01 00:08:29,61.47,59.09446666666667
2022-01-01 00:08:30,62.01,59.094699999999996
2022-01-01 00:08:31,62.16,59.09460000000001
2022-01-01 00:08:32,61.92,59.09446666666667
2022-01-01 00:08:33,61.41,59.094566666666665
2022-01-01 00:08:34,60.88,59.095099999999995
2022-01-01 00:08:35,60.41,59.09633333333333
2022-01-01 00:08:36,60.07,59.098366666666664
2022-01-01 00:08:37,59.83,59.100933333333344
2022-01-01 00:08:38,59.58,59.10383333333334
2022-01-01 00:08:39,59.28,59.106899999999996
2022-01-01 00:08:40,58.9,59.11006666666667
2022-01-01 00:08:41,58.42,59.1132
2022-01-01 00:08:42,57.91,59.11623333333334
2022-01-01 00:08:43,57.39,59.119200000000006
2022-01-01 00:08:44,56.9,59.12239999999999
2022-01-01 00:08:45,56.44,59.126099999999994
2022-01-01 00:08:46,56.01,59.13033333333334
2022-01-01 00:08:47,55.56,59.13473333333333
2022-01-01 00:08:48,55.1,59.13893333333332
2022-01-01 00:08:49,54.58,59.14286666666667
2022-01-01 00:08:50,54.06,59.14663333333333
2022-01-01 00:08:51,53.56,59.15056666666666
2022-01-01 00:08:52,53.12,59.1546
2022-01-01 00:08:53,52.72,59.15853333333334
2022-01-01 00:08:54,52.34,59.1622
2022-01-01 00:08:55,52.0,59.16536666666667
2022-01-01 00:08:56,51.67,59.16813333333333
2022-01-01 00:08:57,51.36,59.17056666666667
2022-01-01 00:08:58,51.06,59.17260000000001
2022-01-01 00:08:59,50.75,59.17423333333333
2022-01-01 00:09:00,50.47,59.1753
2022-01-01 00:09:01,50.2,59.175733333333326
2022-01-01 00:09:02,49.98,59.1756
2022-01-01 00:09:03,49.83,59.17483333333334
2022-01-01 00:09:04,49.72,59.17373333333333
2022-01-01 00:09:05,49.63,59.172900000000006
2022-01-01 00:09:06,49.51,59.17276666666666
2022-01-01 00:09:07,49.34,59.17263333333334
2022-01-01 00:09:08,49.13,59.17053333333333
2022-01-01 00:09:09,48.87,59.165499999999994
2022-01-01 00:09:10,48.64,59.15859999999999
